
SBD,Toán,Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh học,TB KHTN,Lịch Sử,Địa Lý,GDCD,TB KHXH
26000001,7.60,8.00,8.20,7.75,7.75,5.75,7.08,,,,
26000002,6.00,7.75,,,,,,6.75,6.50,,4.42
26000003,6.60,7.25,,,,,,4.75,6.50,,3.75
26000004,8.60,8.75,9.00,,,,,7.75,8.25,7.50,7.83
26000005,7.80,8.00,4.00,6.75,6.75,6.00,6.50,,,,
26000006,,7.50,,,,,,8.50,7.75,,5.42
26000007,9.20,8.00,9.60,8.50,8.25,8.75,8.50,,,,
26000008,8.20,8.75,9.00,,,,,7.25,8.25,8.50,8.00
26000009,3.80,7.00,,,,,,4.50,6.00,,3.50
26000010,8.00,9.00,9.80,,,,,9.00,7.75,8.75,8.50
26000011,7.40,9.00,8.40,,,,,9.25,8.75,9.50,9.17
26000012,8.40,7.50,9.40,8.00,6.75,8.00,7.58,,,,
26000013,,8.25,,,,,,9.25,9.75,,6.33
26000014,8.20,8.75,9.20,,,,,7.75,7.50,9.75,8.33
26000015,,7.75,,,,,,8.50,7.75,,5.42
26000016,8.20,8.75,9.80,,,,,7.75,9.00,9.25,8.67
26000017,8.00,7.50,8.40,,,,,8.00,8.00,9.00,8.33
26000018,8.40,9.00,8.80,,,,,8.75,8.25,10.00,9.00
26000019,9.00,8.50,9.00,9.25,10.00,8.50,9.25,,,,
26000020,7.00,7.75,6.00,,,,,4.25,6.25,,3.50
26000021,7.80,9.00,7.20,,,,,,,,
26000022,7.00,8.25,,,,,,6.75,7.00,8.25,7.33
26000023,,7.00,,,,,,3.75,6.00,,3.25
26000024,8.60,6.75,8.00,8.50,7.50,7.50,7.83,,,,
26000025,8.40,8.00,8.80,5.75,9.00,9.50,8.08,,,,
26000026,8.00,8.00,8.80,8.75,9.00,7.50,8.42,,,,
26000027,8.80,9.00,8.80,,,,,8.50,8.25,8.75,8.50
26000028,7.80,8.50,8.80,,,,,7.75,8.50,9.00,8.42
26000029,8.60,,,8.50,8.00,,5.50,,,,
26000030,7.60,9.00,8.40,7.75,7.75,7.25,7.58,,,,
26000031,8.00,8.75,8.40,5.75,4.75,5.75,5.42,,,,
26000032,7.80,9.25,8.00,,,,,7.00,7.25,8.50,7.58
26000033,7.40,7.50,,,,,,6.00,7.50,,4.50
26000034,7.80,9.00,7.80,,,,,9.00,9.50,9.50,9.33
26000035,8.40,8.75,7.20,8.75,9.25,6.50,8.17,,,,
26000036,7.60,9.00,8.60,,,,,9.50,8.50,8.00,8.67
26000037,8.60,8.75,8.80,,,,,6.50,8.25,8.50,7.75
26000038,6.80,9.50,6.60,,,,,,,,
26000039,8.20,9.50,9.20,,,,,8.50,9.25,9.75,9.17
26000040,8.00,8.00,8.40,8.50,6.00,7.00,7.17,,,,
26000041,8.60,8.00,,5.00,9.00,8.50,7.50,,,,
26000042,8.00,7.75,9.20,3.75,7.00,6.75,5.83,,,,
26000043,7.40,7.50,,,,,,7.25,7.75,,5.00
26000044,7.80,9.25,8.60,5.25,7.75,6.00,6.33,,,,
26000045,7.80,9.75,7.60,,,,,5.75,5.25,8.25,6.42
26000046,8.20,9.00,7.00,,,,,8.50,8.00,9.25,8.58
26000047,6.00,8.50,5.40,,,,,6.00,7.00,7.25,6.75
26000048,7.40,8.50,,,,,,8.00,9.00,,5.67
26000049,7.80,9.50,9.20,,,,,9.00,8.50,9.50,9.00
26000050,8.00,8.75,9.80,,,,,8.00,7.75,9.25,8.33
26000051,3.60,6.00,,,,,,4.50,7.75,,4.08
26000052,7.40,,,8.25,8.50,,5.58,,,,
26000054,6.40,8.50,,,,,,5.50,7.75,,4.42
26000055,8.60,,,5.00,6.75,7.50,6.42,,,,
26000056,8.80,8.50,8.00,7.00,9.25,8.75,8.33,,,,
26000057,7.00,8.25,8.60,,,,,7.50,9.00,8.25,8.25
26000058,8.20,9.00,,6.00,4.00,7.00,5.67,,,,
26000059,6.80,8.50,7.40,,,,,7.25,8.75,8.75,8.25
26000060,7.00,9.00,7.60,,,,,9.00,8.25,8.75,8.67
26000061,3.40,6.75,,,,,,4.00,6.25,,3.42
26000062,6.80,7.00,6.80,,,,,4.75,7.00,,3.92
26000063,9.40,7.00,8.40,4.75,9.75,8.75,7.75,,,,
26000064,9.40,7.75,9.00,8.75,8.25,8.25,8.42,,,,
26000065,8.60,7.75,9.00,5.00,7.00,6.25,6.08,,,,
26000066,7.20,9.00,5.00,,,,,9.75,9.50,9.50,9.58
26000067,8.40,8.00,9.20,9.00,7.00,7.50,7.83,,,,
26000068,8.20,8.75,9.00,,,,,6.75,8.75,9.75,8.42
26000069,,5.00,,,,,,4.25,4.00,,2.75
26000070,8.80,8.25,9.00,8.50,7.75,8.25,8.17,,,,
26000071,6.60,9.50,8.80,,,,,8.25,7.75,9.00,8.33
26000072,7.60,9.25,8.40,,,,,8.00,9.00,9.50,8.83
26000073,7.80,8.25,7.00,7.00,4.75,5.75,5.83,,,,
26000074,7.80,8.25,7.60,,,,,7.75,9.00,9.50,8.75
26000075,7.20,9.25,6.60,,,,,7.25,7.50,8.75,7.83
26000076,7.60,8.00,5.80,3.25,7.50,8.50,6.42,,,,
26000077,8.20,9.50,8.60,,,,,4.75,5.75,7.75,6.08
26000078,7.00,7.75,8.00,,,,,7.25,7.50,9.75,8.17
26000079,,7.75,,,,,,7.00,7.50,,4.83
26000080,8.20,8.75,5.40,,,,,9.50,9.00,9.75,9.42
26000081,8.40,8.25,8.60,,,,,9.00,6.75,9.00,8.25
26000082,8.20,8.25,5.80,6.25,9.75,9.25,8.42,,,,
